split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
robot-held-out,Completely unseen robot,4000,Logistic regression,baseline,Baseline,108,0.2381531649672224,0.04327358085147772,0.3403892912317061,0.22578638638884815,0.07908436067691364,652.0,1.3909600920991119,0.019451295069302432,0.00033646190907650936
robot-held-out,Completely unseen robot,4000,Logistic regression,context_10,+10 difficulty/reach,118,0.27061080202822546,0.099680906104699,0.38393827200612823,0.2416450060762598,0.08184291882279425,652.0,2.515911585333865,0.040231156162917614,0.00034064941670900833
robot-held-out,Completely unseen robot,4000,Logistic regression,context_20,+20 geometry/state,128,0.23237975453851378,0.1151146792571337,0.3172769370749204,0.16818453558339155,0.09685532883157998,652.0,1.9523555466410853,0.04820586090014937,0.0003432049124967307
robot-held-out,Completely unseen robot,4000,Logistic regression,context_22,+22 full context,130,0.32448285171177366,0.08703562782289773,0.4452442398076288,0.20069762117627932,0.11379495897455533,652.0,2.299561010840955,0.04567452417783594,0.00033903474589654553
robot-held-out,Completely unseen robot,4000,MLP-24,baseline,Baseline,108,0.3276422074009125,0.06020582085704432,0.40210746383896967,0.23428437993797935,0.09227875919706187,652.0,2.8863335913312493,0.26301672582728014,0.0004359688367306565
robot-held-out,Completely unseen robot,4000,MLP-24,context_10,+10 difficulty/reach,118,0.483126436019385,0.07654112156521295,0.5025148157532747,0.3447685557514639,0.05564576422719522,652.0,1.0998195443686318,0.332515256741317,0.0004307602406091367
robot-held-out,Completely unseen robot,4000,MLP-24,context_20,+20 geometry/state,128,0.40440060040686426,0.09151621557624344,0.4659728931687477,0.29797823002526996,0.10065672008313348,652.0,2.290569491852714,0.285280451416232,0.0004538228289068987
robot-held-out,Completely unseen robot,4000,MLP-24,context_22,+22 full context,130,0.4285985212866205,0.06560756816025796,0.47904064029563864,0.3064117341349855,0.07859885622353395,652.0,2.064945838695285,0.30269256933631067,0.0004374443330258752
robot-held-out,Completely unseen robot,5000,Logistic regression,baseline,Baseline,108,0.2431007261727353,0.03983923290102623,0.3480901577277988,0.23025216222344966,0.07449228662702496,815.0,1.3792768060011704,0.018051392418177176,0.0003732327507653584
robot-held-out,Completely unseen robot,5000,Logistic regression,context_10,+10 difficulty/reach,118,0.2617124234008486,0.09593901319006418,0.3760913639636525,0.232989059997787,0.07932534584941475,815.0,2.8135930222079164,0.04851426033807608,0.00039312833299239475
robot-held-out,Completely unseen robot,5000,Logistic regression,context_20,+20 geometry/state,128,0.23414024727833282,0.11416381532559926,0.32295970537510105,0.18870490658673122,0.08808823113407986,815.0,2.0027886446469343,0.058356239508915074,0.0004052705820261811
robot-held-out,Completely unseen robot,5000,Logistic regression,context_22,+22 full context,130,0.32070566375748905,0.08691999686669492,0.4409018938757505,0.19684369889750744,0.11249031192380203,815.0,2.1104899852310677,0.06480458341441893,0.00043606934195850044
robot-held-out,Completely unseen robot,5000,MLP-24,baseline,Baseline,108,0.33044766529372277,0.0636182850616376,0.40024391300513895,0.2427946835870399,0.09481857128607338,815.0,2.841138709836781,0.3588201770908199,0.00047274983080569655
robot-held-out,Completely unseen robot,5000,MLP-24,context_10,+10 difficulty/reach,118,0.46776769205235325,0.07299829339635955,0.49451986343249166,0.35287929703221166,0.06247606215547763,815.0,1.3033301456718682,0.4308963019187407,0.0004933125795408463
robot-held-out,Completely unseen robot,5000,MLP-24,context_20,+20 geometry/state,128,0.4003485042323281,0.08217639598435028,0.4491884852521069,0.2969230627073654,0.10330200878015552,815.0,2.0389297567076397,0.40344526041978196,0.0005049511673860252
robot-held-out,Completely unseen robot,5000,MLP-24,context_22,+22 full context,130,0.4677583927734994,0.05554378991506758,0.5123723571379694,0.337745668307813,0.08064060225900141,815.0,1.225388714049423,0.4018423820040577,0.000503531414627408
robot-held-out,Completely unseen robot,6000,Logistic regression,baseline,Baseline,108,0.24065578690176945,0.04098936876731386,0.34626374774344515,0.22726012424256395,0.07690320400379208,978.0,1.3896037139888264,0.022527729330856044,0.00042308683138495934
